Date,day,OpenPrice,ClosePrice,DayHigh,DayLow,Volume
18/05/2020,330,120.2174988,121.3130035,121.6500015,119.2005005,87144000
19/05/2020,331,121.4915009,122.4664993,124.25,121.4485016,86410000
20/05/2020,332,123.8935013,124.8970032,125.0005035,123.3635025,79962000
21/05/2020,333,125,122.336998,126.2724991,122.1269989,102288000
22/05/2020,334,122.7505035,121.8440018,123.4925003,121.5065002,57342000
26/05/2020,335,122.9000015,121.0930023,123.0999985,120.7030029,71364000
27/05/2020,336,120.2494965,120.5195007,120.6790009,116.5,101138000
28/05/2020,337,119.2164993,120.0550003,121.8485031,118.911499,63804000
29/05/2020,338,120.7969971,122.1184998,122.1184998,119.9100037,70198000
1/06/2020,339,122.4000015,123.552002,123.8464966,122.2085037,58578000
2/06/2020,340,123.3499985,123.6204987,123.6764984,122.2655029,50598000
3/06/2020,341,123.4004974,123.9199982,124.4000015,123.0585022,53420000
4/06/2020,342,123.8714981,123.0299988,125.3769989,122.5005035,58974000
5/06/2020,343,122.225502,124.1500015,124.4325027,121.8564987,66128000
8/06/2020,344,125.0100021,126.2030029,126.5,124.3669968,79414000
9/06/2020,345,126.4720001,130.0429993,131.3215027,126.25,103520000
10/06/2020,346,132.25,132.3724976,136.1174927,131.3130035,98920000
11/06/2020,347,130.1750031,127.8980026,133.5690002,126.8115005,116002000
12/06/2020,348,130.0605011,127.2509995,131.0740051,125.1675034,108722000
15/06/2020,349,126.3300018,128.6340027,129.1999969,125.4000015,77302000
16/06/2020,350,131,130.763504,131,128.8000031,71712000
17/06/2020,351,132.375,132.048996,132.75,131.5910034,59186000
18/06/2020,352,132.3504944,132.6990051,132.9819946,131.8054962,49756000
19/06/2020,353,133.904007,133.7505035,134.8715057,132.9499969,115540000
22/06/2020,354,134.2250061,135.6909943,135.75,133.4499969,64176000
23/06/2020,355,136.3009949,138.2205048,139.1555023,135.9019928,84634000
24/06/2020,356,139,136.7200012,139.8000031,136.0500031,90532000
25/06/2020,357,136.9774933,137.7290039,137.8114929,135.6069946,59374000
26/06/2020,358,138.753006,134.6434937,139.1284943,134.3999939,130016000
29/06/2020,359,134.5005035,134.0189972,134.8399963,131.5039978,84468000
30/06/2020,360,134.2534943,137.9409943,138.4815063,133.7514954,75394000
1/07/2020,361,137.8995056,143.9349976,144.75,137.6999969,127268000
2/07/2020,362,145.6004944,144.5149994,147.7779999,143.5549927,131868000
6/07/2020,363,146.7485046,152.852005,152.9940033,146.5,137612000
7/07/2020,364,152.9275055,150.0059967,153.4774933,149.5,105150000
8/07/2020,365,151.1304932,154.0554962,154.1985016,150.6215057,100752000
9/07/2020,366,155.7994995,159.1315002,159.6940002,153.6999969,127774000
10/07/2020,367,159.5879974,160,160.75,156.7850037,109720000
13/07/2020,368,162.5529938,155.1999969,167.2144928,153.4194946,154408000
14/07/2020,369,154.4499969,154.1999969,156.3690033,147.5,144638000
15/07/2020,370,154.0115051,150.4434967,154.9174957,148.6589966,115778000
16/07/2020,371,148.5529938,149.9949951,151.6000061,145.911499,127884000
17/07/2020,372,150.4499969,148.0984955,151.1999969,147.4225006,95226000
20/07/2020,373,150.0099945,159.8419952,160.0679932,149.701004,151964000
21/07/2020,374,161.6244965,156.914505,162.029007,155.2859955,122426000
22/07/2020,375,156.25,154.9954987,157.5,153.2630005,82084000
23/07/2020,376,154.9134979,149.3274994,154.9134979,148.5,113138000
24/07/2020,377,146.5,150.4454956,151.5789948,144.3999939,112648000
27/07/2020,378,153.1000061,152.760498,154.8999939,150.7884979,83410000
28/07/2020,379,152.713501,150.0164948,153.8545074,149.7879944,62534000
29/07/2020,380,151.5494995,151.6764984,151.9579926,149.838501,59482000
30/07/2020,381,150.6999969,152.5939941,154.6000061,150.25,122566000
